EEP,M/Mo,LogTeff,LogG,LogL/Lo,DECam_u,DECam_g,DECam_r,DECam_i,DECam_z,DECam_Y
131,0.828189,3.8264,4.1698,0.4452,4.3599,3.8313,3.6474,3.6378,3.6759,3.6968
132,0.829007,3.8264,4.1633,0.4522,4.3423,3.8136,3.6299,3.6204,3.6585,3.6793
133,0.829819,3.8264,4.1565,0.4592,4.3248,3.7958,3.6122,3.6028,3.6408,3.6616
134,0.830624,3.8263,4.1495,0.4663,4.3071,3.7779,3.5943,3.5848,3.6228,3.6435
135,0.831422,3.8262,4.1423,0.4735,4.2894,3.7598,3.5762,3.5666,3.6044,3.6251
136,0.832214,3.826,4.1349,0.4807,4.2717,3.7417,3.5579,3.5482,3.5858,3.6064
137,0.832997,3.8258,4.1273,0.488,4.2539,3.7235,3.5394,3.5295,3.567,3.5874
138,0.833774,3.8256,4.1194,0.4954,4.236,3.7052,3.5207,3.5106,3.5478,3.5682
139,0.834541,3.8253,4.1113,0.5028,4.2181,3.6868,3.5018,3.4914,3.5284,3.5486
140,0.8353,3.825,4.1029,0.5103,4.2003,3.6684,3.4828,3.472,3.5086,3.5287
141,0.836048,3.8246,4.0943,0.5178,4.1823,3.6499,3.4635,3.4523,3.4885,3.5085
142,0.836787,3.8242,4.0854,0.5254,4.1645,3.6313,3.444,3.4323,3.4681,3.4879
143,0.837514,3.8237,4.0761,0.5331,4.1466,3.6127,3.4244,3.412,3.4473,3.467
144,0.83823,3.8232,4.0666,0.5408,4.1288,3.5941,3.4045,3.3914,3.4261,3.4456
145,0.838934,3.8226,4.0568,0.5486,4.111,3.5755,3.3844,3.3706,3.4047,3.424
146,0.839625,3.8219,4.0465,0.5565,4.0934,3.5569,3.3641,3.3493,3.3827,3.4018
147,0.840303,3.8211,4.0359,0.5643,4.0759,3.5383,3.3436,3.3278,3.3604,3.3793
148,0.840968,3.8203,4.0249,0.5723,4.0586,3.5198,3.3229,3.3058,3.3376,3.3562
149,0.841617,3.8194,4.0136,0.5803,4.0414,3.5014,3.3018,3.2834,3.3143,3.3327
150,0.842252,3.8183,4.0017,0.5883,4.0245,3.4831,3.2802,3.2602,3.2901,3.3083
151,0.842871,3.8172,3.9894,0.5964,4.0078,3.4651,3.2583,3.2364,3.2653,3.2832
152,0.843473,3.8159,3.9765,0.6045,3.9916,3.4473,3.2361,3.2121,3.2399,3.2575
153,0.844059,3.8145,3.9631,0.6126,3.9757,3.4297,3.2137,3.1875,3.214,3.2314
154,0.844628,3.813,3.9491,0.6208,3.9604,3.4123,3.1913,3.1626,3.1877,3.2047
155,0.84518,3.8113,3.9346,0.6289,3.9458,3.395,3.1693,3.1381,3.1617,3.1782
156,0.845715,3.8095,3.9195,0.6371,3.9319,3.3781,3.1473,3.1135,3.1353,3.1512
157,0.846232,3.8075,3.9037,0.6453,3.9188,3.3616,3.1254,3.0888,3.1086,3.1239
158,0.846732,3.8054,3.8872,0.6534,3.9065,3.3455,3.1035,3.0637,3.0815,3.096
159,0.847216,3.8031,3.87,0.6616,3.895,3.3299,3.0814,3.0382,3.0538,3.0676
160,0.847684,3.8005,3.8521,0.6697,3.8846,3.315,3.0594,3.0125,3.0257,3.0386
161,0.848136,3.7978,3.8334,0.6777,3.8757,3.3006,3.0373,2.9864,2.997,3.0089
162,0.848495,3.7954,3.8174,0.6842,3.8697,3.2894,3.0193,2.9648,2.9731,2.9842
163,0.848851,3.7928,3.8007,0.6908,3.8648,3.2787,3.0012,2.9429,2.9486,2.9587
164,0.849204,3.7901,3.7832,0.6974,3.8608,3.2686,2.9831,2.9207,2.9237,2.9328
165,0.849554,3.787,3.7648,0.7039,3.8584,3.2593,2.965,2.8981,2.8981,2.906
166,0.849899,3.7834,3.7439,0.7103,3.8606,3.2524,2.9464,2.8739,2.8703,2.877
167,0.850231,3.7784,3.7184,0.7163,3.8726,3.25,2.927,2.847,2.8386,2.8436
168,0.850563,3.7734,3.6927,0.7221,3.887,3.2483,2.9091,2.8214,2.8081,2.8112
169,0.850906,3.7694,3.6705,0.7282,3.8967,3.2441,2.8913,2.7974,2.78,2.7815
170,0.851252,3.7659,3.6505,0.7345,3.9032,3.2381,2.8733,2.7739,2.7531,2.7533
171,0.851591,3.7625,3.6306,0.7412,3.909,3.2313,2.8549,2.7504,2.7261,2.7249
172,0.851916,3.7593,3.6105,0.7484,3.9133,3.2228,2.8356,2.7261,2.6985,2.6959
173,0.852223,3.7563,3.5908,0.7563,3.9144,3.2119,2.8147,2.7008,2.6701,2.6663
